City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Udachnyy,RU,2022-07-28 01:09:29,66.4167,112.4,82.45,57,27,6.8
166,Kishtwar,IN,2022-07-28 01:09:29,33.3167,75.7667,68.05,96,100,0.74
167,Puerto Del Rosario,ES,2022-07-28 01:09:30,28.5004,-13.8627,73.15,78,75,13.8
168,Abu Samrah,SY,2022-07-28 01:09:30,35.3029,37.1841,77.65,41,0,4.27
169,Half Moon Bay,US,2022-07-28 01:09:30,37.4636,-122.4286,82.54,74,100,23.02
170,Samarai,PG,2022-07-28 01:07:10,-10.6167,150.6667,78.67,85,97,12.55
171,Eureka,US,2022-07-28 01:04:55,40.8021,-124.1637,69.21,76,30,4.0
172,Inhambane,MZ,2022-07-28 01:09:31,-23.865,35.3833,63.72,79,0,5.21
173,Hambantota,LK,2022-07-28 01:04:33,6.1241,81.1185,73.74,100,40,2.3
174,Ystad,SE,2022-07-28 01:09:32,55.4297,13.8204,53.37,87,1,12.12
175,Muros,ES,2022-07-28 01:09:32,42.7762,-9.0603,59.85,84,90,2.57
176,Naron,ES,2022-07-28 01:09:32,43.5167,-8.1528,63.01,90,17,3.6
177,Aloleng,PH,2022-07-28 01:09:33,16.1307,119.7824,83.77,77,100,5.97
178,Provideniya,RU,2022-07-28 01:10:33,64.3833,-173.3,46.36,100,100,7.0
179,Flinders,AU,2022-07-28 01:06:49,-34.5833,150.8552,65.05,57,10,7.0
180,Lorengau,PG,2022-07-28 01:10:34,-2.0226,147.2712,85.26,70,68,11.41
181,Katsuura,JP,2022-07-28 01:10:34,35.1333,140.3,84.22,79,95,11.52
182,Imbituba,BR,2022-07-28 01:10:35,-28.24,-48.6703,65.08,97,96,5.01
183,Baykit,RU,2022-07-28 01:10:35,61.67,96.37,65.73,90,100,2.1
184,Cabimas,VE,2022-07-28 01:10:35,10.3883,-71.4399,81.21,75,97,10.13
185,Sao Filipe,CV,2022-07-28 01:10:36,14.8961,-24.4956,78.8,87,99,1.41
186,Berezovyy,RU,2022-07-28 01:10:36,51.6667,135.7,76.53,64,100,2.42
187,Kahului,US,2022-07-28 01:10:36,20.8947,-156.47,87.82,48,20,23.02
188,Bredasdorp,ZA,2022-07-28 01:09:46,-34.5322,20.0403,48.99,91,0,5.57
189,Meiktila,MM,2022-07-28 01:10:37,20.8667,95.8667,83.57,65,1,8.39
190,Lebu,CL,2022-07-28 01:06:59,-37.6167,-73.65,48.69,86,8,6.33
191,Kaitangata,NZ,2022-07-28 01:09:33,-46.2817,169.8464,44.91,95,100,6.73
192,Belle Fourche,US,2022-07-28 01:10:37,44.6714,-103.8522,80.33,32,8,17.09
193,Cherskiy,RU,2022-07-28 01:07:25,68.75,161.3,54.46,47,100,4.03
194,Madang,PG,2022-07-28 01:10:38,-5.2246,145.7966,82.51,81,47,4.05
195,Berlevag,NO,2022-07-28 01:10:38,70.8578,29.0864,51.6,93,75,23.02
196,Aksu,CN,2022-07-28 01:10:39,41.1231,80.2644,86.09,24,8,3.38
197,Faya,SA,2022-07-28 01:08:45,18.3851,42.4509,63.12,66,100,5.88
198,Naze,JP,2022-07-28 01:08:29,28.3667,129.4833,81.12,82,82,16.42
199,Tiksi,RU,2022-07-28 01:09:13,71.6872,128.8694,68.52,58,73,6.49
200,Yar-Sale,RU,2022-07-28 01:10:39,66.8333,70.8333,57.27,67,100,10.13
201,Avera,US,2022-07-28 01:10:40,33.194,-82.5271,84.54,55,63,8.66
202,Senneterre,CA,2022-07-28 01:10:40,48.3835,-77.2328,63.75,75,100,4.32
203,San Lazaro,BZ,2022-07-28 01:10:40,18.0387,-88.6622,76.28,89,100,4.27
204,Coreau,BR,2022-07-28 01:10:41,-3.5333,-40.6567,74.28,67,48,1.54
205,Mehamn,NO,2022-07-28 01:10:41,71.0357,27.8492,49.91,100,100,18.41
206,Tabuk,PH,2022-07-28 01:10:41,17.4189,121.4443,81.97,79,100,2.04
207,Turbaco,CO,2022-07-28 01:10:42,10.3294,-75.4114,76.75,94,40,0.0
208,Gunnedah,AU,2022-07-28 01:10:42,-30.9833,150.25,56.46,52,9,4.83
209,Belmonte,BR,2022-07-28 01:10:42,-15.8631,-38.8828,70.16,77,0,5.93
210,Avarua,CK,2022-07-28 01:10:26,-21.2078,-159.775,78.85,65,20,19.57
211,Urumqi,CN,2022-07-28 01:10:03,43.801,87.6005,77.95,29,0,4.47
212,Baglung,NP,2022-07-28 01:10:43,28.2719,83.5898,70.59,97,100,1.03
213,Marau,BR,2022-07-28 01:10:43,-28.4492,-52.2,59.43,93,99,2.98
214,Mandera,KE,2022-07-28 01:10:44,3.9366,41.867,73.26,61,95,17.13
215,Nikolskoye,RU,2022-07-28 01:08:53,59.7035,30.7861,57.09,95,0,4.5
216,Teguldet,RU,2022-07-28 01:10:44,57.3064,88.1667,62.31,69,97,2.73
217,Taft,IR,2022-07-28 01:10:45,31.7471,54.2088,80.55,48,75,9.22
218,Itoman,JP,2022-07-28 01:10:45,26.1247,127.6694,86.4,79,40,10.36
219,Saint-Augustin,CA,2022-07-28 01:10:45,51.226,-58.6502,57.92,88,72,5.77
