City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Chokurdakh,RU,2022-07-28 03:13:05,overcast clouds,70.6333,147.9167,61.14,34,98,14.07
165,Ino,JP,2022-07-28 03:13:05,scattered clouds,33.55,133.4333,87.37,63,49,7.09
166,Bambous Virieux,MU,2022-07-28 03:13:06,light rain,-20.3428,57.7575,68.22,79,46,10.83
167,Liptovsky Hradok,SK,2022-07-28 03:13:06,overcast clouds,49.0396,19.7234,58.73,94,87,2.73
168,Poum,NC,2022-07-28 03:13:06,overcast clouds,-20.2333,164.0167,73.69,67,100,13.11
169,Ambilobe,MG,2022-07-28 03:13:07,clear sky,-13.2,49.05,62.82,91,6,3.4
170,Ribeira Grande,PT,2022-07-28 03:13:07,scattered clouds,38.5167,-28.7,72.55,84,30,10.54
171,Male,MV,2022-07-28 03:10:28,overcast clouds,4.1748,73.5089,82.38,74,100,15.61
172,Northam,GB,2022-07-28 03:13:08,overcast clouds,51.0333,-4.2167,55.38,93,100,3.29
173,Constitucion,CL,2022-07-28 03:13:08,clear sky,-35.3333,-72.4167,48.24,76,6,4.7
174,Kitimat,CA,2022-07-28 03:13:08,clear sky,54.0524,-128.6534,83.91,54,4,1.01
175,Lodwar,KE,2022-07-28 03:10:59,overcast clouds,3.1191,35.5973,76.59,58,97,12.35
176,Asfi,MA,2022-07-28 03:13:09,clear sky,32.2994,-9.2372,68.38,84,2,13.69
177,Rudnya,RU,2022-07-28 03:14:09,overcast clouds,54.947,31.0934,56.77,96,100,7.78
178,Vila Franca Do Campo,PT,2022-07-28 03:14:10,broken clouds,37.7167,-25.4333,73.81,93,77,3.38
179,Dikson,RU,2022-07-28 03:14:10,broken clouds,73.5069,80.5464,40.51,94,70,13.56
180,Mineiros,BR,2022-07-28 03:14:10,clear sky,-17.5694,-52.5511,64.8,34,0,5.41
181,Yalutorovsk,RU,2022-07-28 03:14:11,overcast clouds,56.6536,66.3006,59.16,79,100,11.27
182,Ascoli Piceno,IT,2022-07-28 03:14:11,clear sky,42.8548,13.5749,69.1,87,0,3.65
183,Aubenas,FR,2022-07-28 03:14:11,clear sky,44.6201,4.3899,62.17,57,0,5.1
184,Aklavik,CA,2022-07-28 03:14:12,overcast clouds,68.2191,-135.0107,54.97,57,97,11.25
185,Kaitangata,NZ,2022-07-28 03:11:45,overcast clouds,-46.2817,169.8464,44.92,94,100,7.63
186,Bay Roberts,CA,2022-07-28 03:14:12,few clouds,47.5999,-53.2648,64.06,93,11,4.0
187,Oistins,BB,2022-07-28 03:13:54,scattered clouds,13.0667,-59.5333,80.69,74,40,19.57
188,Ostrovnoy,RU,2022-07-28 03:14:13,broken clouds,68.0531,39.5131,61.32,82,51,15.86
189,Bereda,ES,2022-07-28 03:14:13,few clouds,43.2686,-7.5406,57.42,100,22,1.14
190,Dingle,PH,2022-07-28 03:11:47,overcast clouds,10.9995,122.6711,87.46,70,99,9.82
191,Marsh Harbour,BS,2022-07-28 03:11:54,scattered clouds,26.5412,-77.0636,82.2,73,41,12.64
192,Salym,RU,2022-07-28 03:14:14,overcast clouds,60.0625,71.4789,62.02,63,98,9.08
193,Quimper,FR,2022-07-28 03:14:14,clear sky,48.0,-4.1,57.78,82,0,4.61
194,Salo,IT,2022-07-28 03:14:15,few clouds,45.6086,10.531,73.8,80,12,7.14
195,Palana,RU,2022-07-28 03:14:15,light rain,59.1167,159.9667,51.49,86,86,10.07
196,Saurimo,AO,2022-07-28 03:14:15,overcast clouds,-9.6608,20.3916,57.04,33,100,5.61
197,Kavieng,PG,2022-07-28 03:14:16,light rain,-2.5744,150.7967,84.92,71,18,17.94
198,Turan,VN,2022-07-28 03:13:40,clear sky,16.0678,108.2208,89.58,58,0,2.3
199,Margate,GB,2022-07-28 03:14:17,overcast clouds,51.3813,1.3862,63.9,75,100,5.01
200,Liberty,US,2022-07-28 03:14:17,clear sky,31.8335,-81.5004,83.26,41,0,4.61
201,Evensk,RU,2022-07-28 03:14:17,broken clouds,61.95,159.2333,58.87,54,72,5.23
202,Cabo San Lucas,MX,2022-07-28 03:11:58,scattered clouds,22.8909,-109.9124,85.3,69,28,8.84
203,Nemuro,JP,2022-07-28 03:11:33,scattered clouds,43.3236,145.575,64.76,92,47,4.68
204,Dimona,IL,2022-07-28 03:14:18,clear sky,31.0667,35.0333,70.77,62,0,4.12
205,Fairview,US,2022-07-28 03:14:18,clear sky,40.8126,-73.999,79.23,73,0,5.99
206,Sinnamary,GF,2022-07-28 03:14:19,overcast clouds,5.3833,-52.95,77.09,87,95,4.76
207,Baghdad,IQ,2022-07-28 03:12:20,clear sky,33.3406,44.4009,78.71,27,0,4.61
208,Olafsvik,IS,2022-07-28 03:14:19,overcast clouds,64.8945,-23.7142,47.8,81,100,26.33
209,Almaya,MX,2022-07-28 03:14:19,broken clouds,19.2333,-99.4167,52.45,93,75,0.0
210,Litovko,RU,2022-07-28 03:14:20,overcast clouds,49.2361,135.1742,80.62,71,99,5.26
211,Broome,US,2022-07-28 03:14:20,broken clouds,42.2506,-75.833,72.64,87,83,1.99
212,Lukulu,ZM,2022-07-28 03:14:20,broken clouds,-14.3707,23.242,50.72,69,76,5.93
213,Darab,IR,2022-07-28 03:14:21,overcast clouds,28.7519,54.5444,79.77,71,97,2.35
214,Dunhua,CN,2022-07-28 03:14:21,light rain,43.3725,128.2425,81.36,67,99,5.44
215,Antofagasta,CL,2022-07-28 03:14:22,overcast clouds,-23.65,-70.4,56.48,84,88,7.99
216,Sambava,MG,2022-07-28 03:14:22,light rain,-14.2667,50.1667,67.35,87,87,8.08
217,Papar,MY,2022-07-28 03:14:22,broken clouds,5.7333,115.9333,86.0,66,74,4.74
218,Kenora,CA,2022-07-28 03:14:23,broken clouds,49.8167,-94.4337,53.01,97,76,5.75
219,Kenai,US,2022-07-28 03:12:52,clear sky,60.5544,-151.2583,69.89,50,0,8.05
220,Bathsheba,BB,2022-07-28 03:14:23,scattered clouds,13.2167,-59.5167,81.21,85,40,19.57
221,Zanjan,IR,2022-07-28 03:14:23,few clouds,36.6736,48.4787,67.69,68,20,13.8
222,Atar,MR,2022-07-28 03:14:24,broken clouds,20.5169,-13.0499,94.86,18,56,14.65
223,Pandan,PH,2022-07-28 03:14:24,very heavy rain,14.0453,124.1694,87.75,65,100,10.4
224,Bawku,GH,2022-07-28 03:15:25,scattered clouds,11.0616,-0.2417,75.87,79,27,9.53
225,Westport,US,2022-07-28 03:15:25,clear sky,41.1415,-73.3579,75.74,87,0,6.91
